name,industry,region,employees,revenue,taxesPaid,registrationDate,status,address,phone,email,latitude,longitude
"Компания 1,Машиностроение,Москва,210,198765432.10,39753086.42,2017-07-14,Активна,г. Москва; ул. Спиридоновка; д. 1,+7 (495) 123-5678,contact1@company1.ru,55.748765,37.612345"
"Компания 2,Пищевая промышленность,Москва,410,98765432.10,19753086.42,2015-02-19,Активна,г. Москва; Варшавское шоссе; д. 2,+7 (495) 234-6789,contact2@company2.ru,55.687654,37.601234"
"Компания 3,Химическая промышленность,Москва,320,145678901.23,29135780.25,2013-11-05,Активна,г. Москва; ул. Ленинская Слобода; д. 3,+7 (495) 345-7890,contact3@company3.ru,55.725678,37.631234"
"Компания 4,Текстильная промышленность,Москва,180,45678901.23,9135780.25,2019-03-22,Активна,г. Москва; ул. Покровка; д. 4,+7 (495) 456-8901,contact4@company4.ru,55.761234,37.642345"
"Компания 5,Металлургия,Москва,890,398765432.10,79753086.42,2008-09-17,Активна,г. Москва; Ленинский проспект; д. 5,+7 (495) 567-9012,contact5@company5.ru,55.710123,37.569876"
"Компания 6,Электроника,Москва,260,287654321.09,57530864.22,2016-04-11,Активна,г. Москва; ул. Академика Королева; д. 6,+7 (495) 678-0123,contact6@company6.ru,55.801234,37.634567"
"Компания 7,Строительные материалы,Москва,520,210987654.32,42197530.86,2012-08-30,Активна,г. Москва; Волгоградский проспект; д. 7,+7 (495) 789-1234,contact7@company7.ru,55.701234,37.687654"
"Компания 8,Фармацевтика,Москва,340,321098765.43,64219753.09,2014-01-15,Активна,г. Москва; ул. Остоженка; д. 8,+7 (495) 890-2345,contact8@company8.ru,55.741234,37.587654"
"Компания 9,Автомобилестроение,Москва,760,543210987.65,108642197.53,2010-06-21,Активна,г. Москва; Ленинградский проспект; д. 9,+7 (495) 901-3456,contact9@company9.ru,55.789012,37.543210"
"Компания 10,Полиграфия,Москва,95,23456789.01,4691357.80,2021-10-07,Активна,г. Москва; ул. Новокузнецкая; д. 10,+7 (495) 012-4567,contact10@company10.ru,55.723456,37.634567"
"Компания 11,Информационные технологии,Москва,175,154321098.76,30864219.75,2019-11-13,Активна,г. Москва; ул. Тверская; д. 11,+7 (495) 123-6789,contact11@company11.ru,55.758890,37.623456"
"Компания 12,Сельское хозяйство,Москва,130,34567890.12,6913578.02,2020-05-19,Активна,г. Москва; ул. Профсоюзная; д. 12,+7 (495) 234-7890,contact12@company12.ru,55.634567,37.589012"
"Компания 13,Машиностроение,Москва,290,265432109.87,53086421.97,2011-12-03,Активна,г. Москва; ул. Каширское шоссе; д. 13,+7 (495) 345-8901,contact13@company13.ru,55.654321,37.623456"
"Компания 14,Пищевая промышленность,Москва,370,87654321.09,17530864.22,2015-11-05,Активна,г. Москва; ул. Братиславская; д. 14,+7 (495) 456-9012,contact14@company14.ru,55.654321,37.656789"
"Компания 15,Химическая промышленность,Москва,280,132456789.01,26491357.80,2014-07-22,Приостановлена,г. Москва; ул. Земляной Вал; д. 15,+7 (495) 567-0123,contact15@company15.ru,55.745678,37.667890"
"Компания 16,Текстильная промышленность,Москва,110,34567890.12,6913578.02,2022-02-14,Активна,г. Москва; ул. Маросейка; д. 16,+7 (495) 678-1234,contact16@company16.ru,55.759876,37.634567"
"Компания 17,Металлургия,Москва,720,321098765.43,64219753.09,2009-04-08,Активна,г. Москва; ул. Красная Пресня; д. 17,+7 (495) 789-2345,contact17@company17.ru,55.743210,37.554321"
"Компания 18,Электроника,Москва,190,187654321.09,37530864.22,2018-01-30,Активна,г. Москва; ул. Космонавта Волкова; д. 18,+7 (495) 890-3456,contact18@company18.ru,55.723456,37.645678"
"Компания 19,Строительные материалы,Москва,480,198765432.10,39753086.42,2013-09-12,Активна,г. Москва; ул. Алтуфьевское шоссе; д. 19,+7 (495) 901-4567,contact19@company19.ru,55.834567,37.567890"
"Компания 20,Фармацевтика,Москва,210,210987654.32,42197530.86,2017-03-25,Активна,г. Москва; ул. Гоголевский бульвар; д. 20,+7 (495) 012-5678,contact20@company20.ru,55.739876,37.598765"
"Компания 21,Автомобилестроение,Москва,680,432109876.54,86421975.31,2012-11-14,Активна,г. Москва; Мичуринский проспект; д. 21,+7 (495) 123-7890,contact21@company21.ru,55.701234,37.512345"
"Компания 22,Полиграфия,Москва,82,19876543.21,3975308.64,2023-01-09,Активна,г. Москва; ул. Солянка; д. 22,+7 (495) 234-8901,contact22@company22.ru,55.748765,37.645678"
"Компания 23,Информационные технологии,Москва,142,87654321.50,17530864.30,2019-04-12,Активна,г. Москва; ул. Новый Арбат; д. 23,+7 (495) 345-9012,contact23@company23.ru,55.752214,37.615584"
"Компания 24,Сельское хозяйство,Москва,95,28765432.10,5753086.42,2021-07-18,Активна,г. Москва; ул. Волоколамское шоссе; д. 24,+7 (495) 456-0123,contact24@company24.ru,55.823456,37.489012"
"Компания 25,Машиностроение,Москва,350,287654321.09,57530864.22,2014-12-12,Активна,г. Москва; ул. Большая Дмитровка; д. 25,+7 (495) 567-1234,contact25@company25.ru,55.760987,37.623456"
"Компания 26,Пищевая промышленность,Москва,430,109876543.21,21975308.64,2016-02-29,Активна,г. Москва; ул. Чистопрудный бульвар; д. 26,+7 (495) 678-2345,contact26@company26.ru,55.767890,37.656789"
"Компания 27,Химическая промышленность,Москва,310,154321098.76,30864219.75,2015-05-17,Активна,г. Москва; ул. Садовая-Кудринская; д. 27,+7 (495) 789-3456,contact27@company27.ru,55.756789,37.601234"
"Компания 28,Текстильная промышленность,Москва,125,43210987.65,8642197.53,2022-09-03,Активна,г. Москва; ул. Яузская; д. 28,+7 (495) 890-4567,contact28@company28.ru,55.756789,37.667890"
"Компания 29,Металлургия,Москва,810,398765432.10,79753086.42,2007-10-11,Банкротство,г. Москва; ул. Зубовский Вал; д. 29,+7 (495) 901-5678,contact29@company29.ru,55.734567,37.578901"
"Компания 30,Электроника,Москва,230,210987654.32,42197530.86,2017-08-22,Активна,г. Москва; ул. Петровка; д. 30,+7 (495) 012-6789,contact30@company30.ru,55.765432,37.623456"
"Компания 31,Строительные материалы,Москва,510,265432109.87,53086421.97,2012-03-14,Активна,г. Москва; ул. Таганская; д. 31,+7 (495) 123-8901,contact31@company31.ru,55.734567,37.656789"
"Компания 32,Фармацевтика,Москва,270,298765432.10,59753086.42,2016-11-09,Активна,г. Москва; ул. Рождественка; д. 32,+7 (495) 234-9012,contact32@company32.ru,55.759876,37.623456"
"Компания 33,Автомобилестроение,Москва,720,498765432.10,99753086.42,2011-01-27,Активна,г. Москва; ул. Кутузовский проспект; д. 33,+7 (495) 345-0123,contact33@company33.ru,55.745678,37.512345"
"Компания 34,Полиграфия,Москва,76,16543210.98,3308642.20,2022-12-05,Активна,г. Москва; ул. Кузнецкий Мост; д. 34,+7 (495) 456-1234,contact34@company34.ru,55.758890,37.612345"
"Компания 35,Информационные технологии,Москва,160,143210987.65,28642197.53,2019-09-04,Активна,г. Москва; ул. Б. Спасская; д. 35,+7 (495) 567-2345,contact35@company35.ru,55.759876,37.645678"
"Компания 36,Сельское хозяйство,Москва,110,32109876.54,6421975.31,2020-08-13,Активна,г. Москва; ул. Новослободская; д. 36,+7 (495) 678-3456,contact36@company36.ru,55.778901,37.589012"
"Компания 37,Машиностроение,Москва,240,198765432.10,39753086.42,2018-05-16,Активна,г. Москва; ул. Мясницкая; д. 37,+7 (495) 789-4567,contact37@company37.ru,55.767890,37.634567"
"Компания 38,Пищевая промышленность,Москва,390,92100000.00,18420000.00,2015-10-21,Активна,г. Москва; ул. Арбат; д. 38,+7 (495) 890-5678,contact38@company38.ru,55.750123,37.589012"
"Компания 39,Химическая промышленность,Москва,290,143210987.65,28642197.53,2014-03-09,Активна,г. Москва; ул. Пречистенка; д. 39,+7 (495) 901-6789,contact39@company39.ru,55.745678,37.598765"
"Компания 40,Текстильная промышленность,Москва,105,32109876.54,6421975.31,2023-04-18,Активна,г. Москва; ул. Сретенка; д. 40,+7 (495) 012-7890,contact40@company40.ru,55.767890,37.634567"
"Компания 41,Металлургия,Москва,780,365432109.87,73086421.97,2008-12-01,Активна,г. Москва; ул. Б. Ордынка; д. 41,+7 (495) 123-9012,contact41@company41.ru,55.732109,37.623456"
"Компания 42,Электроника,Москва,210,176543210.98,35308642.20,2018-07-07,Активна,г. Москва; ул. Никольская; д. 42,+7 (495) 234-0123,contact42@company42.ru,55.756789,37.634567"
"Компания 43,Строительные материалы,Москва,490,232109876.54,46421975.31,2013-01-19,Активна,г. Москва; ул. Б. Дмитровка; д. 43,+7 (495) 345-1234,contact43@company43.ru,55.751234,37.634567"
"Компания 44,Фармацевтика,Москва,250,265432109.87,53086421.97,2017-02-14,Активна,г. Москва; ул. Садовая-Самотечная; д. 44,+7 (495) 456-2345,contact44@company44.ru,55.771234,37.645678"
"Компания 45,Автомобилестроение,Москва,690,465432109.87,93086421.97,2011-05-30,Активна,г. Москва; ул. Ленинградское шоссе; д. 45,+7 (495) 567-3456,contact45@company45.ru,55.812345,37.534567"
"Компания 46,Полиграфия,Москва,88,21098765.43,4219753.09,2021-11-22,Активна,г. Москва; ул. Пятницкая; д. 46,+7 (495) 678-4567,contact46@company46.ru,55.734567,37.623456"
"Компания 47,Информационные технологии,Москва,130,76543210.98,15308642.20,2020-03-04,Активна,г. Москва; ул. Б. Лубянка; д. 47,+7 (495) 789-5678,contact47@company47.ru,55.761234,37.623456"
"Компания 48,Сельское хозяйство,Москва,102,29876543.21,5975308.64,2022-06-11,Активна,г. Москва; ул. М. Дмитровка; д. 48,+7 (495) 890-6789,contact48@company48.ru,55.751234,37.623456"
"Компания 49,Машиностроение,Москва,310,243210987.65,48642197.53,2015-08-14,Активна,г. Москва; ул. Братиславская; д. 49,+7 (495) 901-7890,contact49@company49.ru,55.654321,37.656789"
