name,industry,region,employees,revenue,taxesPaid,registrationDate,status,address,phone,email,latitude,longitude
"ООО ""Вектор Технологий"",IT,Москва,150,45000000,9000000,2018-03-15,active,ул. Ленина, 25, +7 (495) 123-45-67,info@vectortech.ru,55.7558,37.6173"
"ПАО ""СтройГарант"",Строительство,Москва,450,120000000,24000000,2005-11-08,active,пр-т Мира, 108, +7 (495) 234-56-78,contact@stroigarant.ru,55.7818,37.5815"
"ЗАО ""МеталлПром"",Металлургия,Москва,320,85000000,17000000,2010-07-22,active,ш. Энтузиастов, 56, +7 (495) 345-67-89,sales@metallprom.ru,55.7570,37.6156"
"ООО ""АгроТрейд"",Сельское хозяйство,Москва,85,28000000,5600000,2015-09-30,active,ул. Сельскохозяйственная, 12, +7 (495) 456-78-90,office@agrotrade.ru,55.7345,37.6432"
"АО ""ФармаМед"",Фармацевтика,Москва,210,68000000,13600000,2012-12-10,active,ул. Биологическая, 7, +7 (495) 567-89-01,info@pharmamed.ru,55.7912,37.5956"





























































































name,industry,region,employees,revenue,taxesPaid,registrationDate,status,address,phone,email,latitude,longitude
"ООО ""Вектор Технологий"",IT,Москва,150,45000000,9000000,2018-03-15,active,ул. Ленина, 25, +7 (495) 123-45-67,info@vectortech.ru,55.7558,37.6173"
"ПАО ""СтройГарант"",Строительство,Москва,450,120000000,24000000,2005-11-08,active,пр-т Мира, 108, +7 (495) 234-56-78,contact@stroigarant.ru,55.7818,37.5815"
"ЗАО ""МеталлПром"",Металлургия,Москва,320,85000000,17000000,2010-07-22,active,ш. Энтузиастов, 56, +7 (495) 345-67-89,sales@metallprom.ru,55.7570,37.6156"
"ООО ""АгроТрейд"",Сельское хозяйство,Москва,85,28000000,5600000,2015-09-30,active,ул. Сельскохозяйственная, 12, +7 (495) 456-78-90,office@agrotrade.ru,55.7345,37.6432"
"АО ""ФармаМед"",Фармацевтика,Москва,210,68000000,13600000,2012-12-10,active,ул. Биологическая, 7, +7 (495) 567-89-01,info@pharmamed.ru,55.7912,37.5956"
